Code,Item Cat,Title,Uploaded,Price,Listing Price,size,Measurements,Colour,Brand,Description, Image Urls,Item Url
6TT,185702, Linen Over Shirt / Large /  M /  Beige  / 6TT,TRUE,£24.95,40.925, M,"Pit to pit: 24"" // Shoulder to bottom: 30"" ", Beige ,Unbranded,"Size on label: M<br>Recommended size: L<br>Pit to pit: 24"" // Shoulder to bottom: 30"" <br>Colour: Beige <br>Condition: Very good vintage condition. ",http://cdn.shopify.com/s/files/1/0380/3099/9685/products/AFEE5E37-517F-4505-B061-D194385502D9.jpg?v=1610377373|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/1B3A7A47-0D1E-475B-B364-FE6C610AF65F.jpg?v=1610377374|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/FDEF6065-74C0-41FA-9F04-A9A416100973.jpg?v=1610377375|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DB1B4364-6244-4997-81CA-E0C7F89F30B7.jpg?v=1610377374|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/93B99EB9-FC78-4BB4-9395-6DA340607964.jpg?v=1610377374,https://www.taylorsthrift.com//collections/jackets-coats/products/beige-linen-over-shirt
7TT,185702, AC/DC Bomber Jacket / Small /  M /  Black / 7TT,TRUE,£49.95,75.9275, M,"Pit to pit: 21"" // Shoulder to bottom: 23"" ", Black,AC/DC,"Size on label: M<br>Recommended size: S<br>Pit to pit: 21"" // Shoulder to bottom: 23"" <br>Colour: Black<br>Condition: Very good vintage condition. ",http://cdn.shopify.com/s/files/1/0380/3099/9685/products/A1516363-94A6-4FB9-9F35-F996EB0E6896.jpg?v=1610374614|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/F2753A1B-8B6A-4DED-BDD8-DFBB2F8E9A41.jpg?v=1610374614|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/33286505-D22A-4CAC-B016-601BD02399CE.jpg?v=1610374614|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/6B796875-A3C6-4CDA-9393-48F2BFB6D3EE.jpg?v=1610374611,https://www.taylorsthrift.com//collections/jackets-coats/products/ac-dc-bomber
8TT,185702, USA Air Force Bomber Jacket / Medium /  N/A /  Black / 8TT,TRUE,£49.95,75.9275, N/A,"Pit to pit: 25"" // Shoulder to bottom: 24"" ", Black,Unbranded,"Size on label: N/A<br>Recommended size: M<br>Pit to pit: 25"" // Shoulder to bottom: 24"" <br>Colour: Black<br>Condition: Very good vintage condition. ",http://cdn.shopify.com/s/files/1/0380/3099/9685/products/327B491D-E0C0-4524-865E-9D3D226CBDC5.jpg?v=1610374572|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/318096B8-03D7-4609-9D54-89667B2EBCD9.jpg?v=1610374572|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/D5DD1AA7-5D64-4A0E-9249-A0D5A9045773.jpg?v=1610374572,https://www.taylorsthrift.com//collections/jackets-coats/products/usa-bomber-1
9TT,185702, USA Army Bomber Jacket / Large /  N/A /  Khaki Green / 9TT,TRUE,£49.95,75.9275, N/A,"Pit to pit: 27"" // Shoulder to bottom: 27"" ", Khaki Green,Unbranded,"Size on label: N/A<br>Recommended size: L<br>Pit to pit: 27"" // Shoulder to bottom: 27"" <br>Colour: Khaki Green<br>Condition: Very good vintage condition. ",http://cdn.shopify.com/s/files/1/0380/3099/9685/products/72460226-D5D2-4225-BB81-26794F4A92BA.jpg?v=1610374532|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/72A72FBB-6ABA-417A-ACFC-CC19D79D818B.jpg?v=1610374532|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/67329581-4924-46C1-9261-BFCE8EC5DB49.jpg?v=1610374532,https://www.taylorsthrift.com//collections/jackets-coats/products/usa-bomber
10TT,185702, Aztec Hooded Fleece Coat  / Large /  N/A /  Blue / Cream / 10TT,TRUE,£39.95,61.4275, N/A,"Pit to pit: 24"" // Shoulder to bottom: 30"" ", Blue / Cream,Unbranded,"Size on label: N/A<br>Recommended size: L<br>Pit to pit: 24"" // Shoulder to bottom: 30"" <br>Colour: Blue / Cream<br>Condition: Very good vintage condition. ",http://cdn.shopify.com/s/files/1/0380/3099/9685/products/6C73D216-3032-4E2E-81B2-0B254A505211.jpg?v=1610365583|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/C9C1ECA7-5368-46DE-BE7F-CBD80A52B9C3.jpg?v=1610365583|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/B20531D7-0668-46DA-8564-AD31AD988A21.jpg?v=1610365583|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/71A455D3-BDC4-424E-BB9F-75B3E88F34A2.jpg?v=1610365583,https://www.taylorsthrift.com//collections/jackets-coats/products/aztec-wool-hoodie
12TT,185702, 90'S TOMMY HILFIGER JACKET / MEDIUM /  M /  Green / Yellow  / 12TT,TRUE,£109.95,142.935, M,"Pit to pit: 24"" // Shoulder to bottom: 27"" ", Green / Yellow ,Tommy Hilfiger,"Size on label: M<br>Recommended size: M<br>Pit to pit: 24"" // Shoulder to bottom: 27"" <br>Colour: Green / Yellow <br>Condition: Very good vintage condition! ",http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3401.jpg?v=1608739732|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3403.jpg?v=1608739732|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3404.jpg?v=1608739733,https://www.taylorsthrift.com//collections/jackets-coats/products/vintage-90s-tommy-hilfiger-jacket-medium
13TT,185702, 90'S TOMMY HILFIGER JACKET / LARGE /  L /  Yellow  / 13TT,TRUE,£79.95,103.935, L,"Pit to pit: 26"" // Shoulder to bottom: 30"" ", Yellow ,Tommy Hilfiger,"Size on label: L<br>Recommended size: L <br>Pit to pit: 26"" // Shoulder to bottom: 30"" <br>Colour: Yellow <br>Condition: Very good vintage condition! ",http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3405.jpg?v=1608739456|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3406.jpg?v=1608739455|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3407.jpg?v=1608739456|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3408.jpg?v=1608739455,https://www.taylorsthrift.com//collections/jackets-coats/products/vintage-90s-tommy-hilfiger-jacket-large
14TT,185702, YSL JACKET / LARGE /  N/A /  Black / 14TT,TRUE,£99.95,129.935, N/A,"Pit to pit: 24"" // Shoulder to bottom: 29"" ", Black,YSL,"Size on label: N/A<br>Recommended size: L<br>Pit to pit: 24"" // Shoulder to bottom: 29"" <br>Colour: Black<br>Condition: Very good vintage condition! ",http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3442.jpg?v=1608738645|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3443.jpg?v=1608738645|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3444.jpg?v=1608738646,https://www.taylorsthrift.com//collections/jackets-coats/products/vintage-ysl-jacket-large
15TT,185702, YSL HARRINGTON JACKET / MEDIUM /  100 /  White  / 15TT,TRUE,£99.95,129.935,100,"Pit to pit: 23"" // Shoulder to bottom: 26"" ", White ,YSL,"Size on label: 100<br>Recommended size: M<br>Pit to pit: 23"" // Shoulder to bottom: 26"" <br>Colour: White <br>Condition: Very good vintage condition! ",http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3445.jpg?v=1608732891|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3447.jpg?v=1608732892|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3448.jpg?v=1608732891|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3449.jpg?v=1608732891,https://www.taylorsthrift.com//collections/jackets-coats/products/vintage-ysl-harrington-jacket-medium
17TT,185702, THE NORTH FACE NUPTSE 700 PUFFER JACKET / MEDIUM /  95/M /  Navy / Grey  / 17TT,TRUE,£149.95,194.935, 95/M,"Pit to pit: 24"" // Shoulder to bottom: 27"" ", Navy / Grey ,The North Face,"Size on label: 95/M<br>Recommended size: M<br>Pit to pit: 24"" // Shoulder to bottom: 27"" <br>Colour: Navy / Grey <br>Condition: Very good vintage condition! ",http://cdn.shopify.com/s/files/1/0380/3099/9685/products/CC4B131C-4F55-4AB2-BED8-A2591252CC3D.jpg?v=1607979774|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DB86D6BF-2659-4C58-AFD6-5C03433EBD75.jpg?v=1607979774|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/F23852D1-2CC1-4924-8DD4-57CA1A05BBDA.jpg?v=1607979774|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/16E376EA-0538-4EFF-B03F-96EE105D59DB.jpg?v=1607979774,https://www.taylorsthrift.com//collections/jackets-coats/products/nuptse-710
